"","Jdate","basin_id","term","estimate","std.error","statistic.x","p.value.x","r.squared","adj.r.squared","sigma","statistic.y","p.value.y","df","logLik","AIC","BIC","deviance","df.residual","nobs"
"90",45,"ShopeFork","regression coefficient",0.0409870601452005,0.00196215700427402,20.8887770223899,2.41982260895262e-17,0.94581014975379,0.943642555743942,105.847666795471,NA,NA,NA,-157.594557416665,319.18911483333,321.705307909373,280093.214151127,25,26
"91",46,"BallCreek","regression coefficient",0.0348639913649151,0.00118544845889233,29.4099596683364,1.13852669103098e-16,0.979613696022939,0.978481123579769,139.257985335486,NA,NA,NA,-120.236429755958,244.472859511916,246.361737470249,349070.156634571,18,19
"92",46,"ShopeFork","regression coefficient",0.0420128351154926,0.00198809646764844,21.1321914198592,1.83860719368327e-17,0.94698554667573,0.944864968542759,107.246959344502,NA,NA,NA,-157.936021956285,319.87204391257,322.388236988613,287547.75721603,25,26
"93",47,"BallCreek","regression coefficient",0.035785255406857,0.00119548988194577,29.9335493735949,8.33721994328915e-17,0.980306720166099,0.979212649064216,140.437579719227,NA,NA,NA,-120.396692763117,244.793385526234,246.682263484567,355008.848353094,18,19
"94",47,"ShopeFork","regression coefficient",0.0431043547885616,0.00203440776172278,21.1876672904846,1.72772062704015e-17,0.94724817412204,0.945138101086922,109.745201031263,NA,NA,NA,-158.534727032777,321.069454065554,323.585647141597,301100.228734808,25,26
"95",48,"BallCreek","regression coefficient",0.0367316021136649,0.00120600285723588,30.4573093614824,6.13643269532698e-17,0.980965427058149,0.979907950783602,141.672568678721,NA,NA,NA,-120.563045801172,245.126091602345,247.014969560678,361280.100888485,18,19
"96",48,"ShopeFork","regression coefficient",0.0442246755128819,0.0020822528097644,21.2388598087116,1.63154967882001e-17,0.947488828171822,0.945388381298695,112.326180377916,NA,NA,NA,-159.139113643221,322.278227286442,324.794420362485,315429.269957306,25,26
"97",49,"BallCreek","regression coefficient",0.0377037559741136,0.00121702319403372,30.9803101197668,4.54137223785036e-17,0.981590943683309,0.980568218332382,142.967158830383,NA,NA,NA,-120.735877490577,245.471754981154,247.360632939487,367912.953072577,18,19
"98",49,"ShopeFork","regression coefficient",0.0453421977378567,0.00211472797575059,21.4411490545318,1.3026791285627e-17,0.948424137989015,0.946361103508575,114.078038430532,NA,NA,NA,-159.541484400036,323.082968800072,325.599161876115,325344.97130395,25,26
"99",50,"BallCreek","regression coefficient",0.0387024368437939,0.00122861414707223,31.5008881641329,3.38190899756347e-17,0.982183614865758,0.981193815691634,144.328780886706,NA,NA,NA,-120.915977583911,245.831955167822,247.720833126155,374954.345860372,18,19
"100",50,"ShopeFork","regression coefficient",0.0464741641670764,0.00214102779494042,21.7064740013661,9.72439926393962e-18,0.949614146501581,0.947598712361644,115.49677021006,NA,NA,NA,-159.86283930889,323.725678617781,326.241871693824,333487.598223887,25,26
"101",51,"BallCreek","regression coefficient",0.0397283850238258,0.00124084439729572,32.0172175579865,2.53620904878811e-17,0.98274378133591,0.981785102521238,145.765502992587,NA,NA,NA,-121.104178074032,246.208356148065,248.097234106398,382456.473528272,18,19
"102",51,"ShopeFork","regression coefficient",0.047664375977202,0.00218218751606549,21.8424748681275,8.38146696394587e-18,0.95020849776943,0.948216837680207,117.717112638087,NA,NA,NA,-160.357926880404,324.715853760807,327.23204683685,346432.965196204,25,26
"103",52,"BallCreek","regression coefficient",0.040782361850383,0.00125378827002122,32.5273116885139,1.91697810062868e-17,0.983271779766516,0.982342434197989,147.28605635336,NA,NA,NA,-121.301350020099,246.602700040198,248.491577998531,390477.283130251,18,19
"104",52,"ShopeFork","regression coefficient",0.0488656542417726,0.00221693094685486,22.0420281069638,6.74950210221422e-18,0.951062051655278,0.949104533721489,119.591331203429,NA,NA,NA,-160.768621882465,325.53724376493,328.053436840973,357552.162475204,25,26
"105",53,"BallCreek","regression coefficient",0.0418651503014353,0.00126752592549647,33.0290288027343,1.46161550744861e-17,0.983767942811718,0.982866161856814,148.899857620184,NA,NA,NA,-121.508399214913,247.016798429826,248.905676388159,399081.016787601,18,19
